Available,Discontinued,Product
0.692,0.308,Dell G Series G7 7588 15.6-inch FHD Laptop
0.192,0.808,Dell Vostro 3000 
0.594,0.406,Dell Precision M5510 WorkStation Laptop
0.044,0.956,Dell 27 Monitor
0.312,0.688,Alienware 25 Gaming Monitor
0.358,0.642,Inspiron 27 7000 All-in-One
0.342,0.658,DELL Inspiron 7570 15.6-inch FHD Laptop
0.69,0.31,Dell G5 15 Gaming Laptop
0.28,0.72,Dell G Series G7 7588 15.6-inch FHD Laptop
0.82,0.18,Dell Vostro 3000 
0.738,0.262,Dell G5 15 Gaming Laptop
0.178,0.822,Dell G5 15 Gaming Laptop
0.238,0.762,XPS 8920 Desktop Tower
0.392,0.608,XPS 13 Laptop
0.064,0.936,Dell Inspiron 3520 Desktop Computer
0.01,0.99,Dell Inspiron 13 5378 2-in-1 
0.578,0.422,New Inspiron 15 5570 Laptop
0.378,0.622,Dell 27 Monitor
0.012,0.988,New Inspiron 22 3275 All-in-One
0.086,0.914,Dell 27 Monitor
0,1,Precision 5520 Mobile Workstation
0,1,Dell G3 15 Gaming Laptop
0.008,0.992,Dell Inspiron 3520 Desktop Computer
0.006,0.994,Dell 27 Monitor
0.006,0.994,Dell Venue 7 3741 Tablet 
0.004,0.996,Precision 5520 Mobile Workstation
0.032,0.968,Dell Venue 7 3741 Tablet 
0,1,Inspiron 15 7572 Laptop
0.026,0.974,Inspiron 15 7572 Laptop
0.064,0.936,Dell Inspiron 3520 Desktop Computer
0.038,0.962,Dell UltraSharp 27 4K HDR Monitor 
0.006,0.994,XPS 13 Laptop
0.008,0.992,Dell G Series G7 7588 15.6-inch FHD Laptop
0.102,0.898,Dell 24 UltraSharp Monitor
0.07,0.93,DELL Inspiron 7570 15.6-inch FHD Laptop
0.52,0.48,XPS 13 Laptop
0.038,0.962,Precision 5520 Mobile Workstation
0.216,0.784,Dell G3 15 Gaming Laptop
0.166,0.834,Dell Inspiron 13 5378 2-in-1 
0.102,0.898,Dell Inspiron 13 5378 2-in-1 
0,1,Dell Venue 7 3741 Tablet 
0,1,Dell 24 Touch Monitor
0,1,DELL Inspiron 7570 15.6-inch FHD Laptop
0.012,0.988,Dell Venue 7 3741 Tablet 
0.014,0.986,Dell G Series G7 7588 15.6-inch FHD Laptop
0.028,0.972,Dell G Series G7 7588 15.6-inch FHD Laptop
0.018,0.982,Dell G Series G7 7588 15.6-inch FHD Laptop
0,1,Dell 27 Monitor
0.004,0.996,Dell 24 UltraSharp Monitor
0,1,Inspiron 15 7572 Laptop
0.078,0.922,Dell Inspiron 3520 Desktop Computer
0,1,Dell 24 Touch Monitor
0,1,Dell UltraSharp 27 4K HDR Monitor 
0.134,0.866,DELL Inspiron 7570 15.6-inch FHD Laptop
0,1,"Dell Alienware 15 15.6"" Gaming Laptop "
0,1,Dell 27 Monitor
0.002,0.998,Dell Precision M5510 WorkStation Laptop
0.002,0.998,New Inspiron 22 3275 All-in-One
0,1,Inspiron 27 7000 All-in-One
0,1,Dell 27 Monitor
0.002,0.998,XPS 8920 Desktop Tower
0,1,Dell Vostro 3000 
0.002,0.998,Dell 24 UltraSharp Monitor
0,1,Precision 5520 Mobile Workstation
0,1,Dell Vostro 3000 
0,1,Latitude Dell 5175 Tablet
0.908,0.092,Dell G Series G7 7588 15.6-inch FHD Laptop
0.914,0.086,Dell Vostro 3000 
0.978,0.022,Dell G7 15 Gaming Laptop
0.996,0.004,Dell Vostro 3000 
0.95,0.05,Dell Venue 7 3741 Tablet 
0.984,0.016,Dell Venue 7 3741 Tablet 
1,0,DELL Inspiron 7570 15.6-inch FHD Laptop
0.99,0.01,New Inspiron 22 3275 All-in-One
0.986,0.014,New Inspiron 22 3275 All-in-One
0.996,0.004,Alienware 25 Gaming Monitor
0.95,0.05,Dell 24 UltraSharp Monitor
0.958,0.042,Inspiron 27 7000 All-in-One
0.978,0.022,Dell G Series G7 7588 15.6-inch FHD Laptop
1,0,Dell 24 UltraSharp Monitor
0.984,0.016,Dell 27 Monitor
0.998,0.002,Dell UltraSharp 27 4K HDR Monitor 
0.9,0.1,Alienware 25 Gaming Monitor
0.842,0.158,Dell Inspiron 3520 Desktop Computer
0.874,0.126,"Dell Alienware 15 15.6"" Gaming Laptop "
0.978,0.022,Dell Precision M5510 WorkStation Laptop
0.964,0.036,Dell 27 Monitor
0.992,0.008,Dell Venue 7 3741 Tablet 
0.83,0.17,Dell G Series G7 7588 15.6-inch FHD Laptop
0.988,0.012,Dell Inspiron 13 5378 2-in-1 
0.998,0.002,Precision 5520 Mobile Workstation
0.992,0.008,Dell 24 Touch Monitor
0.988,0.012,Dell Precision M5510 WorkStation Laptop
